0044c0e0 PUSH R15
0044c0e2 PUSH R14
0044c0e4 PUSH R13
0044c0e6 PUSH R12
0044c0e8 PUSH RBP
0044c0e9 PUSH RBX
0044c0ea SUB RSP,0x1c8
0044cc37 XOR RCX,RBP
0044cc3a XOR RDX,R12
0044cc3d ROR RCX,0x18
0044cc41 ROR RDX,0x18
0044cc45 ADD RBX,RCX
0044cc48 ADD R10,RDX
0044cc4b XOR RDI,RBX
0044cc4e XOR RSI,R10
0044cc51 ROR RDI,0x10
0044cc55 ROR RSI,0x10
0044cc59 ADD RBP,RDI
0044cc5c ADD R12,RSI
0044cc5f XOR RCX,RBP
0044cc62 XOR RDX,R12
0044cc65 ROL RCX,0x1
0044cc68 ROL RDX,0x1
0044cc6b ROL R15,0x20
0044cc6f ADD R9,qword ptr [RSP + 0xc8]
0044cc77 ADD R11,qword ptr [RSP + 0x18]
0044cc7c ADD R14,R15
0044cc7f ADD R11,RCX
0044cc82 ADD RBX,qword ptr [RSP + 0xe8]
0044cc8a XOR RAX,R14
0044cc8d ADD RBX,RDX
0044cc90 ROR RAX,0x18
0044cc94 XOR R8,RBX
0044cc97 ADD R9,RAX
0044cc9a ROL R8,0x20
0044cc9e XOR R15,R9
0044cca1 ROR R15,0x10
0044cca5 ADD R14,R15
0044cca8 XOR R15,R11
0044ccab ADD R11,qword ptr [RSP + 0x118]
0044ccb3 ROL R15,0x20
0044ccb7 XOR RAX,R14
0044ccba ADD R14,R8
0044ccbd ADD R12,R15
0044ccc0 XOR RDX,R14
0044ccc3 ROL RAX,0x1
0044ccc6 XOR RCX,R12
0044ccc9 ROR RDX,0x18
0044cccd ROR RCX,0x18
0044ccd1 ADD R11,RCX
0044ccd4 XOR R15,R11
0044ccd7 ROR R15,0x10
0044ccdb ADD R12,R15
0044ccde XOR RCX,R12
0044cce1 ROL RCX,0x1
0044cce4 ADD RBX,qword ptr [RSP + 0xd8]
0044ccec ADD R10,qword ptr [RSP + 0x128]
0044ccf4 ADD RBX,RDX
0044ccf7 ADD R10,RAX
0044ccfa ADD R9,qword ptr [RSP + 0xb8]
0044cd02 XOR R8,RBX
0044cd05 XOR RDI,R10
0044cd08 ADD R10,qword ptr [RSP + 0x40]
0044cd0d ROR R8,0x10
0044cd11 ROL RDI,0x20
0044cd15 ADD R14,R8
0044cd18 ADD R13,RDI
0044cd1b MOV qword ptr [RSP + 0x58],R14
0044cd20 XOR RDX,R14
0044cd23 MOV R14,qword ptr [RSP + 0x70]
0044cd28 XOR RAX,R13
0044cd2b ROR RAX,0x18
0044cd2f ROL RDX,0x1
0044cd32 ADD R9,R14
0044cd35 ADD R10,RAX
0044cd38 XOR RSI,R9
0044cd3b XOR RDI,R10
0044cd3e ADD R9,qword ptr [RSP + 0xf8]
0044cd46 ROL RSI,0x20
0044cd4a ROR RDI,0x10
0044cd4e ADD RBP,RSI
0044cd51 ADD R13,RDI
0044cd54 XOR R14,RBP
0044cd57 XOR RAX,R13
0044cd5a ROR R14,0x18
0044cd5e ROL RAX,0x1
0044cd61 ADD R9,R14
0044cd64 XOR RSI,R9
0044cd67 ROR RSI,0x10
0044cd6b ADD RBP,RSI
0044cd6e ADD R11,qword ptr [RSP + 0x38]
0044cd73 ADD RBX,qword ptr [RSP + 0xb8]
0044cd7b XOR R14,RBP
0044cd7e ADD RBX,RCX
0044cd81 ADD R10,qword ptr [RSP + 0x40]
0044cd86 ROL R14,0x1
0044cd89 XOR RDI,RBX
0044cd8c ADD RBX,qword ptr [RSP + 0x128]
0044cd94 ADD R11,R14
0044cd97 ROL RDI,0x20
0044cd9b XOR R8,R11
0044cd9e ADD RBP,RDI
0044cda1 ADD R11,qword ptr [RSP + 0xd8]
0044cda9 ROL R8,0x20
0044cdad XOR RCX,RBP
0044cdb0 ADD R13,R8
0044cdb3 ROR RCX,0x18
0044cdb7 XOR R14,R13
0044cdba ADD RBX,RCX
0044cdbd ROR R14,0x18
0044cdc1 XOR RDI,RBX
0044cdc4 ADD R11,R14
0044cdc7 ROR RDI,0x10
0044cdcb XOR R8,R11
0044cdce ADD RBP,RDI
0044cdd1 ROR R8,0x10
0044cdd5 XOR RCX,RBP
0044cdd8 ADD R13,R8
0044cddb ROL RCX,0x1
0044cdde XOR R14,R13
0044cde1 ROL R14,0x1
0044cde4 ADD R10,RDX
0044cde7 ADD R9,qword ptr [RSP + 0x18]
0044cdec ADD R11,qword ptr [RSP]
0044cdf0 ADD R9,RAX
0044cdf3 MOV qword ptr [RSP + 0x70],R14
0044cdf8 MOV R14,qword ptr [RSP + 0x58]
0044cdfd XOR RSI,R10
0044ce00 XOR R15,R9
0044ce03 ROL RSI,0x20
0044ce07 ADD R9,qword ptr [RSP + 0x30]
0044ce0c ADD R11,RCX
0044ce0f ROL R15,0x20
0044ce13 ADD R12,RSI
0044ce16 ADD R10,qword ptr [RSP + 0x118]
0044ce1e ADD R14,R15
0044ce21 XOR RDX,R12
0044ce24 XOR RAX,R14
0044ce27 ROR RDX,0x18
0044ce2b ROR RAX,0x18
0044ce2f ADD R10,RDX
0044ce32 ADD R9,RAX
0044ce35 XOR RSI,R10
0044ce38 XOR R15,R9
0044ce3b ROR RSI,0x10
0044ce3f ROR R15,0x10
0044ce43 ADD R12,RSI
0044ce46 ADD R14,R15
0044ce49 XOR R15,R11
0044ce4c XOR RDX,R12
0044ce4f ROL R15,0x20
0044ce53 XOR RAX,R14
0044ce56 ROL RDX,0x1
0044ce59 ADD R12,R15
0044ce5c ROL RAX,0x1
0044ce5f XOR RCX,R12
0044ce62 ADD RBX,qword ptr [RSP + 0x20]
0044ce67 ADD R10,qword ptr [RSP + 0xf8]
0044ce6f ADD RBX,RDX
0044ce72 ADD R10,RAX
0044ce75 ROR RCX,0x18
0044ce79 ADD R11,qword ptr [RSP + 0xe8]
0044ce81 XOR R8,RBX
0044ce84 XOR RDI,R10
0044ce87 ADD R11,RCX
0044ce8a ADD R10,qword ptr [RSP + 0x10]
0044ce8f ROL R8,0x20
0044ce93 ADD RBX,qword ptr [RSP + 0xc8]
0044ce9b ROL RDI,0x20
0044ce9f XOR R15,R11
0044cea2 ADD R14,R8
0044cea5 ADD R13,RDI
0044cea8 ROR R15,0x10
0044ceac XOR RDX,R14
0044ceaf XOR RAX,R13
0044ceb2 ADD R12,R15
0044ceb5 ROR RDX,0x18
0044ceb9 ROR RAX,0x18
0044cebd XOR RCX,R12
0044cec0 ADD RBX,RDX
0044cec3 ADD R10,RAX
0044cec6 ROL RCX,0x1
0044cec9 XOR R8,RBX
0044cecc ROR R8,0x10
0044ced0 ADD R14,R8
0044ced3 XOR RDX,R14
0044ced6 MOV qword ptr [RSP + 0x58],R14
0044cedb MOV R14,qword ptr [RSP + 0x70]
0044cee0 ROL RDX,0x1
0044cee3 XOR RDI,R10
0044cee6 ADD R9,qword ptr [RSP + 0x28]
0044ceeb ADD R11,qword ptr [RSP + 0x118]
0044cef3 ADD R9,R14
0044cef6 ROR RDI,0x10
0044cefa XOR RSI,R9
0044cefd ADD R9,qword ptr [RSP + 0x108]
0044cf05 ADD R13,RDI
0044cf08 ROL RSI,0x20
0044cf0c XOR RAX,R13
0044cf0f ADD RBP,RSI
0044cf12 ROL RAX,0x1
0044cf15 XOR R14,RBP
0044cf18 ROR R14,0x18
0044cf1c ADD R9,R14
0044cf1f XOR RSI,R9
0044cf22 ROR RSI,0x10
0044cf26 ADD RBP,RSI
0044cf29 XOR R14,RBP
0044cf2c ROL R14,0x1
0044cf2f ADD R11,R14
0044cf32 XOR R8,R11
0044cf35 ADD R11,qword ptr [RSP + 0x108]
0044cf3d ROL R8,0x20
0044cf41 ADD R13,R8
0044cf44 XOR R14,R13
0044cf47 ROR R14,0x18
0044cf4b ADD R11,R14
0044cf4e XOR R8,R11
0044cf51 ROR R8,0x10
0044cf55 ADD R13,R8
0044cf58 XOR R14,R13
0044cf5b ROL R14,0x1
0044cf5e MOV qword ptr [RSP + 0x70],R14
0044cf63 ADD RBX,qword ptr [RSP + 0xe8]
0044cf6b ADD R10,qword ptr [RSP + 0x38]
0044cf70 ADD RBX,RCX
0044cf73 MOV R14,qword ptr [RSP + 0x58]
0044cf78 ADD R10,RDX
0044cf7b XOR RDI,RBX
0044cf7e ADD RBX,qword ptr [RSP + 0x40]
0044cf83 ADD R9,qword ptr [RSP + 0xc8]
0044cf8b XOR RSI,R10
0044cf8e ROL RDI,0x20
0044cf92 ADD R10,qword ptr [RSP + 0xb8]
0044cf9a ADD R9,RAX
0044cf9d ROL RSI,0x20
0044cfa1 ADD RBP,RDI
0044cfa4 XOR R15,R9
0044cfa7 ADD R12,RSI
0044cfaa XOR RCX,RBP
0044cfad XOR RDX,R12
0044cfb0 ROR RCX,0x18
0044cfb4 ROR RDX,0x18
0044cfb8 ADD RBX,RCX
0044cfbb ADD R10,RDX
0044cfbe XOR RDI,RBX
0044cfc1 XOR RSI,R10
0044cfc4 ROR RDI,0x10
0044cfc8 ROR RSI,0x10
0044cfcc ADD RBP,RDI
0044cfcf ADD R12,RSI
0044cfd2 XOR RCX,RBP
0044cfd5 XOR RDX,R12
0044cfd8 ROL RCX,0x1
0044cfdb ROL RDX,0x1
0044cfde ROL R15,0x20
0044cfe2 ADD R9,qword ptr [RSP + 0xf8]
0044cfea ADD R11,qword ptr [RSP + 0xd8]
0044cff2 ADD R14,R15
0044cff5 ADD R11,RCX
0044cff8 ADD RBX,qword ptr [RSP + 0x128]
0044d000 XOR RAX,R14
0044d003 ADD RBX,RDX
0044d006 ROR RAX,0x18
0044d00a XOR R8,RBX
0044d00d ADD R9,RAX
0044d010 ROL R8,0x20
0044d014 XOR R15,R9
0044d017 ROR R15,0x10
0044d01b ADD R14,R15
0044d01e XOR R15,R11
0044d021 ADD R11,qword ptr [RSP]
0044d025 ROL R15,0x20
0044d029 XOR RAX,R14
0044d02c ADD R14,R8
0044d02f ADD R12,R15
0044d032 XOR RDX,R14
0044d035 ROL RAX,0x1
0044d038 XOR RCX,R12
0044d03b ROR RDX,0x18
0044d03f ROR RCX,0x18
0044d043 ADD R11,RCX
0044d046 XOR R15,R11
0044d049 ROR R15,0x10
0044d04d ADD R12,R15
0044d050 XOR RCX,R12
0044d053 ROL RCX,0x1
0044d056 ADD RBX,qword ptr [RSP + 0x18]
0044d05b ADD R10,RAX
0044d05e ADD R10,qword ptr [RSP + 0x28]
0044d063 ADD RBX,RDX
0044d066 XOR RDI,R10
0044d069 ADD R9,qword ptr [RSP + 0x10]
0044d06e ADD R10,qword ptr [RSP + 0x20]
0044d073 XOR R8,RBX
0044d076 ROL RDI,0x20
0044d07a ROR R8,0x10
0044d07e ADD R13,RDI
0044d081 ADD R14,R8
0044d084 XOR RAX,R13
0044d087 MOV qword ptr [RSP + 0x58],R14
0044d08c XOR RDX,R14
0044d08f MOV R14,qword ptr [RSP + 0x70]
0044d094 ROR RAX,0x18
0044d098 ADD R10,RAX
0044d09b ROL RDX,0x1
0044d09e ADD R9,R14
0044d0a1 XOR RDI,R10
0044d0a4 XOR RSI,R9
0044d0a7 ADD R9,qword ptr [RSP + 0x30]
0044d0ac ROR RDI,0x10
0044d0b0 ROL RSI,0x20
0044d0b4 ADD R13,RDI
0044d0b7 ADD RBP,RSI
0044d0ba XOR RAX,R13
0044d0bd XOR R14,RBP
0044d0c0 ROL RAX,0x1
0044d0c3 ROR R14,0x18
0044d0c7 ADD R9,R14
0044d0ca XOR RSI,R9
0044d0cd ROR RSI,0x10
0044d0d1 ADD RBP,RSI
0044d0d4 ADD R11,qword ptr [RSP + 0x20]
0044d0d9 ADD RBX,qword ptr [RSP + 0x40]
0044d0de XOR R14,RBP
0044d0e1 ADD RBX,RCX
0044d0e4 ADD R10,qword ptr [RSP + 0x108]
0044d0ec ROL R14,0x1
0044d0ef XOR RDI,RBX
0044d0f2 ADD RBX,qword ptr [RSP + 0xf8]
0044d0fa ADD R11,R14
0044d0fd ROL RDI,0x20
0044d101 XOR R8,R11
0044d104 ADD RBP,RDI
0044d107 ADD R11,qword ptr [RSP + 0x128]
0044d10f ROL R8,0x20
0044d113 XOR RCX,RBP
0044d116 ADD R13,R8
0044d119 ROR RCX,0x18
0044d11d XOR R14,R13
0044d120 ADD RBX,RCX
0044d123 ROR R14,0x18
0044d127 XOR RDI,RBX
0044d12a ADD R11,R14
0044d12d ROR RDI,0x10
0044d131 XOR R8,R11
0044d134 ADD RBP,RDI
0044d137 ROR R8,0x10
0044d13b XOR RCX,RBP
0044d13e ADD R13,R8
0044d141 ROL RCX,0x1
0044d144 XOR R14,R13
0044d147 ROL R14,0x1
0044d14a ADD R10,RDX
0044d14d ADD R9,qword ptr [RSP]
0044d151 ADD R11,qword ptr [RSP + 0x38]
0044d156 ADD R9,RAX
0044d159 MOV qword ptr [RSP + 0x70],R14
0044d15e MOV R14,qword ptr [RSP + 0x58]
0044d163 XOR RSI,R10
0044d166 XOR R15,R9
0044d169 ROL RSI,0x20
0044d16d ADD R9,qword ptr [RSP + 0x28]
0044d172 ADD R11,RCX
0044d175 ROL R15,0x20
0044d179 ADD R12,RSI
0044d17c ADD R10,qword ptr [RSP + 0xc8]
0044d184 ADD R14,R15
0044d187 XOR RDX,R12
0044d18a XOR RAX,R14
0044d18d ROR RDX,0x18
0044d191 ROR RAX,0x18
0044d195 ADD R10,RDX
0044d198 ADD R9,RAX
0044d19b XOR RSI,R10
0044d19e XOR R15,R9
0044d1a1 ROR RSI,0x10
0044d1a5 ROR R15,0x10
0044d1a9 ADD R12,RSI
0044d1ac ADD R14,R15
0044d1af XOR R15,R11
0044d1b2 XOR RDX,R12
0044d1b5 ROL R15,0x20
0044d1b9 XOR RAX,R14
0044d1bc ROL RDX,0x1
0044d1bf ADD R12,R15
0044d1c2 ROL RAX,0x1
0044d1c5 XOR RCX,R12
0044d1c8 ADD RBX,qword ptr [RSP + 0x118]
0044d1d0 ADD R11,qword ptr [RSP + 0x10]
0044d1d5 ADD R10,RAX
0044d1d8 ADD RBX,RDX
0044d1db ROR RCX,0x18
0044d1df XOR R8,RBX
0044d1e2 ADD RBX,qword ptr [RSP + 0xe8]
0044d1ea ADD R11,RCX
0044d1ed ROL R8,0x20
0044d1f1 XOR R15,R11
0044d1f4 ADD R14,R8
0044d1f7 ROR R15,0x10
0044d1fb XOR RDX,R14
0044d1fe ADD R12,R15
0044d201 ROR RDX,0x18
0044d205 XOR RCX,R12
0044d208 ADD RBX,RDX
0044d20b ROL RCX,0x1
0044d20e XOR R8,RBX
0044d211 ROR R8,0x10
0044d215 ADD R14,R8
0044d218 MOV qword ptr [RSP + 0x58],R14
0044d21d ADD R10,qword ptr [RSP + 0xb8]
0044d225 XOR RDX,R14
0044d228 XOR RDI,R10
0044d22b ADD R10,qword ptr [RSP + 0x18]
0044d230 MOV R14,qword ptr [RSP + 0x70]
0044d235 ROL RDX,0x1
0044d238 ROL RDI,0x20
0044d23c ADD R13,RDI
0044d23f XOR RAX,R13
0044d242 ROR RAX,0x18
0044d246 ADD R10,RAX
0044d249 XOR RDI,R10
0044d24c ADD R9,qword ptr [RSP + 0x30]
0044d251 ADD R11,qword ptr [RSP + 0x30]
0044d256 ADD R9,R14
0044d259 ROR RDI,0x10
0044d25d XOR RSI,R9
0044d260 ADD R9,qword ptr [RSP + 0xd8]
0044d268 ADD R13,RDI
0044d26b ROL RSI,0x20
0044d26f XOR RAX,R13
0044d272 ADD RBP,RSI
0044d275 ROL RAX,0x1
0044d278 XOR R14,RBP
0044d27b ROR R14,0x18
0044d27f ADD R9,R14
0044d282 XOR RSI,R9
0044d285 ROR RSI,0x10
0044d289 ADD RBP,RSI
0044d28c XOR R14,RBP
0044d28f ROL R14,0x1
0044d292 ADD R11,R14
0044d295 XOR R8,R11
0044d298 ADD R11,qword ptr [RSP + 0x10]
0044d29d ROL R8,0x20
0044d2a1 ADD R13,R8
0044d2a4 XOR R14,R13
0044d2a7 ROR R14,0x18
0044d2ab ADD R11,R14
0044d2ae XOR R8,R11
0044d2b1 ROR R8,0x10
0044d2b5 ADD R13,R8
0044d2b8 XOR R14,R13
0044d2bb ROL R14,0x1
0044d2be ADD RBX,qword ptr [RSP + 0x28]
0044d2c3 ADD R10,qword ptr [RSP + 0xe8]
0044d2cb ADD RBX,RCX
0044d2ce ADD R10,RDX
0044d2d1 MOV qword ptr [RSP + 0x70],R14
0044d2d6 ADD R9,qword ptr [RSP + 0xb8]
0044d2de XOR RDI,RBX
0044d2e1 XOR RSI,R10
0044d2e4 ADD RBX,qword ptr [RSP + 0x18]
0044d2e9 ADD R10,qword ptr [RSP + 0x20]
0044d2ee ROL RDI,0x20
0044d2f2 ROL RSI,0x20
0044d2f6 ADD R9,RAX
0044d2f9 MOV R14,qword ptr [RSP + 0x58]
0044d2fe ADD RBP,RDI
0044d301 ADD R12,RSI
0044d304 XOR R15,R9
0044d307 XOR RCX,RBP
0044d30a XOR RDX,R12
0044d30d ROR RCX,0x18
0044d311 ROR RDX,0x18
0044d315 ADD RBX,RCX
0044d318 ADD R10,RDX
0044d31b XOR RDI,RBX
0044d31e XOR RSI,R10
0044d321 ROR RDI,0x10
0044d325 ROR RSI,0x10
0044d329 ADD RBP,RDI
0044d32c ADD R12,RSI
0044d32f XOR RCX,RBP
0044d332 XOR RDX,R12
0044d335 ROL RCX,0x1
0044d338 ROL RDX,0x1
0044d33b ROL R15,0x20
0044d33f ADD R9,qword ptr [RSP + 0xd8]
0044d347 ADD R11,qword ptr [RSP + 0x128]
0044d34f ADD R14,R15
0044d352 ADD R11,RCX
0044d355 ADD RBX,qword ptr [RSP + 0xf8]
0044d35d XOR RAX,R14
0044d360 ADD RBX,RDX
0044d363 ROR RAX,0x18
0044d367 XOR R8,RBX
0044d36a ADD R9,RAX
0044d36d ROL R8,0x20
0044d371 XOR R15,R9
0044d374 ROR R15,0x10
0044d378 ADD R14,R15
0044d37b XOR R15,R11
0044d37e ADD R11,qword ptr [RSP + 0x108]
0044d386 ROL R15,0x20
0044d38a XOR RAX,R14
0044d38d ADD R14,R8
0044d390 ADD R12,R15
0044d393 XOR RDX,R14
0044d396 ROL RAX,0x1
0044d399 XOR RCX,R12
0044d39c ROR RDX,0x18
0044d3a0 ROR RCX,0x18
0044d3a4 ADD R11,RCX
0044d3a7 XOR R15,R11
0044d3aa ROR R15,0x10
0044d3ae ADD R12,R15
0044d3b1 XOR RCX,R12
0044d3b4 ROL RCX,0x1
0044d3b7 ADD RBX,qword ptr [RSP + 0x40]
0044d3bc ADD R10,RAX
0044d3bf ADD R10,qword ptr [RSP + 0xc8]
0044d3c7 ADD RBX,RDX
0044d3ca XOR RDI,R10
0044d3cd ADD R9,qword ptr [RSP + 0x118]
0044d3d5 ADD R10,qword ptr [RSP + 0x38]
0044d3da XOR R8,RBX
0044d3dd ROL RDI,0x20
0044d3e1 ROR R8,0x10
0044d3e5 ADD R13,RDI
0044d3e8 ADD R14,R8
0044d3eb XOR RAX,R13
0044d3ee XOR RDX,R14
0044d3f1 MOV qword ptr [RSP + 0x58],R14
0044d3f6 MOV R14,qword ptr [RSP + 0x70]
0044d3fb ROR RAX,0x18
0044d3ff ADD R10,RAX
0044d402 ROL RDX,0x1
0044d405 ADD R9,R14
0044d408 XOR RDI,R10
0044d40b XOR RSI,R9
0044d40e ADD R9,qword ptr [RSP]
0044d412 ROR RDI,0x10
0044d416 ROL RSI,0x20
0044d41a ADD R13,RDI
0044d41d ADD RBP,RSI
0044d420 XOR RAX,R13
0044d423 XOR R14,RBP
0044d426 ROL RAX,0x1
0044d429 ROR R14,0x18
0044d42d ADD R9,R14
0044d430 XOR RSI,R9
0044d433 ROR RSI,0x10
0044d437 ADD RBP,RSI
0044d43a ADD R11,qword ptr [RSP]
0044d43e ADD RBX,qword ptr [RSP + 0x10]
0044d443 XOR R14,RBP
0044d446 ADD RBX,RCX
0044d449 ADD R10,qword ptr [RSP + 0x18]
0044d44e ROL R14,0x1
0044d451 XOR RDI,RBX
0044d454 ADD RBX,qword ptr [RSP + 0xc8]
0044d45c ADD R11,R14
0044d45f ROL RDI,0x20
0044d463 XOR R8,R11
0044d466 ADD RBP,RDI
0044d469 ADD R11,qword ptr [RSP + 0xb8]
0044d471 ROL R8,0x20
0044d475 XOR RCX,RBP
0044d478 ADD R13,R8
0044d47b ROR RCX,0x18
0044d47f XOR R14,R13
0044d482 ADD RBX,RCX
0044d485 ROR R14,0x18
0044d489 XOR RDI,RBX
0044d48c ADD R11,R14
0044d48f ROR RDI,0x10
0044d493 XOR R8,R11
0044d496 ADD RBP,RDI
0044d499 ROR R8,0x10
0044d49d XOR RCX,RBP
0044d4a0 ADD R13,R8
0044d4a3 ROL RCX,0x1
0044d4a6 XOR R14,R13
0044d4a9 ROL R14,0x1
0044d4ac ADD R10,RDX
0044d4af XOR RSI,R10
0044d4b2 MOV qword ptr [RSP + 0x70],R14
0044d4b7 ADD R10,qword ptr [RSP + 0xd8]
0044d4bf ADD R9,qword ptr [RSP + 0x20]
0044d4c4 MOV R14,qword ptr [RSP + 0x58]
0044d4c9 ROL RSI,0x20
0044d4cd ADD R9,RAX
0044d4d0 ADD R12,RSI
0044d4d3 ADD R11,qword ptr [RSP + 0x28]
0044d4d8 XOR R15,R9
0044d4db XOR RDX,R12
0044d4de ADD R9,qword ptr [RSP + 0xe8]
0044d4e6 ADD R11,RCX
0044d4e9 ROL R15,0x20
0044d4ed ROR RDX,0x18
0044d4f1 ADD R14,R15
0044d4f4 ADD R10,RDX
0044d4f7 XOR RAX,R14
0044d4fa XOR RSI,R10
0044d4fd ROR RAX,0x18
0044d501 ROR RSI,0x10
0044d505 ADD R9,RAX
0044d508 ADD R12,RSI
0044d50b XOR R15,R9
0044d50e XOR RDX,R12
0044d511 ROR R15,0x10
0044d515 ROL RDX,0x1
0044d518 ADD R14,R15
0044d51b XOR R15,R11
0044d51e ROL R15,0x20
0044d522 XOR RAX,R14
0044d525 ADD R12,R15
0044d528 ROL RAX,0x1
0044d52b XOR RCX,R12
0044d52e ADD RBX,qword ptr [RSP + 0x30]
0044d533 ADD R10,RAX
0044d536 ADD R10,qword ptr [RSP + 0x38]
0044d53b ADD RBX,RDX
0044d53e ROR RCX,0x18
0044d542 ADD R11,qword ptr [RSP + 0xf8]
0044d54a XOR RDI,R10
0044d54d XOR R8,RBX
0044d550 ADD R11,RCX
0044d553 ADD RBX,qword ptr [RSP + 0x108]
0044d55b ROL RDI,0x20
0044d55f ROL R8,0x20
0044d563 XOR R15,R11
0044d566 ADD R13,RDI
0044d569 ADD R10,qword ptr [RSP + 0x118]
0044d571 ADD R14,R8
0044d574 ROR R15,0x10
0044d578 XOR RAX,R13
0044d57b XOR RDX,R14
0044d57e ADD R12,R15
0044d581 ROR RAX,0x18
0044d585 ROR RDX,0x18
0044d589 XOR RCX,R12
0044d58c ADD R10,RAX
0044d58f ADD RBX,RDX
0044d592 ROL RCX,0x1
0044d595 XOR R8,RBX
0044d598 ROR R8,0x10
0044d59c ADD R14,R8
0044d59f MOV qword ptr [RSP + 0x58],R14
0044d5a4 XOR RDX,R14
0044d5a7 MOV R14,qword ptr [RSP + 0x70]
0044d5ac ROL RDX,0x1
0044d5af XOR RDI,R10
0044d5b2 ADD R9,qword ptr [RSP + 0x40]
0044d5b7 ADD R11,qword ptr [RSP + 0x40]
0044d5bc ADD R9,R14
0044d5bf ROR RDI,0x10
0044d5c3 XOR RSI,R9
0044d5c6 ADD R9,qword ptr [RSP + 0x128]
0044d5ce ADD R13,RDI
0044d5d1 ROL RSI,0x20
0044d5d5 XOR RAX,R13
0044d5d8 ADD RBP,RSI
0044d5db ROL RAX,0x1
0044d5de XOR R14,RBP
0044d5e1 ROR R14,0x18
0044d5e5 ADD R9,R14
0044d5e8 XOR RSI,R9
0044d5eb ROR RSI,0x10
0044d5ef ADD RBP,RSI
0044d5f2 XOR R14,RBP
0044d5f5 ROL R14,0x1
0044d5f8 ADD R11,R14
0044d5fb XOR R8,R11
0044d5fe ADD R11,qword ptr [RSP + 0x30]
0044d603 ROL R8,0x20
0044d607 ADD R13,R8
0044d60a XOR R14,R13
0044d60d ROR R14,0x18
0044d611 ADD R11,R14
0044d614 XOR R8,R11
0044d617 ROR R8,0x10
0044d61b ADD R13,R8
0044d61e XOR R14,R13
0044d621 ROL R14,0x1
0044d624 ADD R10,qword ptr [RSP + 0xf8]
0044d62c ADD RBX,RCX
0044d62f ADD RBX,qword ptr [RSP + 0x18]
0044d634 ADD R10,RDX
0044d637 XOR RDI,RBX
0044d63a ADD RBX,qword ptr [RSP + 0x28]
0044d63f ADD R9,qword ptr [RSP + 0x118]
0044d647 XOR RSI,R10
0044d64a ROL RDI,0x20
0044d64e ADD R9,RAX
0044d651 MOV qword ptr [RSP + 0x30],R14
0044d656 ROL RSI,0x20
0044d65a ADD RBP,RDI
0044d65d MOV R14,qword ptr [RSP + 0x58]
0044d662 XOR R15,R9
0044d665 ADD R12,RSI
0044d668 XOR RCX,RBP
0044d66b ADD R10,qword ptr [RSP + 0x128]
0044d673 XOR RDX,R12
0044d676 ROR RCX,0x18
0044d67a ROR RDX,0x18
0044d67e ADD RBX,RCX
0044d681 ADD R10,RDX
0044d684 XOR RDI,RBX
0044d687 XOR RSI,R10
0044d68a ROR RDI,0x10
0044d68e ROR RSI,0x10
0044d692 ADD RBP,RDI
0044d695 ADD R12,RSI
0044d698 XOR RCX,RBP
0044d69b XOR RDX,R12
0044d69e ROL RCX,0x1
0044d6a1 ROL RDX,0x1
0044d6a4 ROL R15,0x20
0044d6a8 ADD R9,qword ptr [RSP + 0x20]
0044d6ad ADD R11,qword ptr [RSP + 0xb8]
0044d6b5 ADD R14,R15
0044d6b8 ADD R11,RCX
0044d6bb XOR RAX,R14
0044d6be ROR RAX,0x18
0044d6c2 ADD R9,RAX
0044d6c5 XOR R15,R9
0044d6c8 ROR R15,0x10
0044d6cc ADD R14,R15
0044d6cf XOR R15,R11
0044d6d2 ADD R11,qword ptr [RSP + 0x38]
0044d6d7 ROL R15,0x20
0044d6db XOR RAX,R14
0044d6de ADD R12,R15
0044d6e1 ROL RAX,0x1
0044d6e4 XOR RCX,R12
0044d6e7 ROR RCX,0x18
0044d6eb ADD R11,RCX
0044d6ee XOR R15,R11
0044d6f1 MOV qword ptr [RSP + 0x130],R11
0044d6f9 ROR R15,0x10
0044d6fd ADD R12,R15
0044d700 MOV qword ptr [RSP + 0x1a8],R15
0044d708 MOV qword ptr [RSP + 0x180],R12
0044d710 XOR R12,RCX
0044d713 MOV RCX,qword ptr [RSP]
0044d717 ROL R12,0x1
0044d71a ADD RCX,RBX
0044d71d MOV qword ptr [RSP + 0x158],R12
0044d725 ADD RCX,RDX
0044d728 XOR R8,RCX
0044d72b ROL R8,0x20
0044d72f ADD R14,R8
0044d732 XOR RDX,R14
0044d735 ROR RDX,0x18
0044d739 ADD RCX,qword ptr [RSP + 0x10]
0044d73e ADD R10,RAX
0044d741 ADD RCX,RDX
0044d744 MOV qword ptr [RSP + 0x138],RCX
0044d74c XOR RCX,R8
0044d74f ROR RCX,0x10
0044d753 MOV qword ptr [RSP + 0x190],RCX
0044d75b ADD R14,RCX
0044d75e ADD R10,qword ptr [RSP + 0x108]
0044d766 XOR RDI,R10
0044d769 MOV qword ptr [RSP + 0x188],R14
0044d771 XOR R14,RDX
0044d774 MOV RCX,qword ptr [RSP + 0xe8]
0044d77c ROL RDI,0x20
0044d780 MOV RBX,qword ptr [RSP + 0x30]
0044d785 ROL R14,0x1
0044d788 LEA RDX,[R13 + RDI*0x1]
0044d78d ADD RCX,R10
0044d790 MOV qword ptr [RSP + 0x160],R14
0044d798 XOR RAX,RDX
0044d79b ROR RAX,0x18
0044d79f ADD RCX,RAX
0044d7a2 MOV qword ptr [RSP + 0x140],RCX
0044d7aa XOR RCX,RDI
